TimeSec,BandwidthMbps
6.0,118974.16
6.0,119325.36
6.0,118912.40
6.0,118830.15
6.0,118481.86
6.0,118400.20
6.0,119325.36
6.0,119242.54
6.0,117569.68
6.0,118830.15
6.0,119077.24
6.0,118645.51
6.0,119159.83
6.0,119408.30
6.0,118563.62
6.0,118994.76
6.0,118216.89
6.0,119242.54
6.0,118298.29
6.0,118481.86
6.0,119242.54
6.0,118994.76
6.0,116197.97
6.0,118994.76
6.1,118809.61
6.1,117469.19
6.1,118645.51
6.1,118563.62
6.1,117650.19
6.1,119595.33
6.1,118584.08
6.1,119242.54
6.1,118809.61
6.1,117228.72
6.1,118809.61
6.1,119077.24
6.1,118074.70
6.1,119056.61
6.1,119242.54
6.1,117148.78
6.1,119139.18
6.1,119242.54
6.1,118074.70
6.1,119242.54
6.1,119491.35
6.1,117569.68
6.1,118974.16
6.1,118481.86
6.1,118216.89
6.1,118155.91
6.1,118809.61
6.1,111848.11
6.1,118748.02
6.1,117489.27
6.1,114666.24
6.1,116572.48
6.1,116909.62
6.1,122910.89
6.1,124379.14
7.0,123374.28
7.0,123462.95
7.0,120518.20
7.0,123997.61
7.0,124266.68
7.0,120878.59
7.0,123908.18
7.0,123908.18
7.0,120096.95
7.0,124469.26
7.0,123818.88
7.0,119678.64
7.0,124087.17
7.0,123087.01
7.0,120687.53
7.0,123529.53
7.0,122735.27
7.0,121670.46
7.0,123551.74
7.0,119056.61
7.0,123908.18
7.0,122735.27
7.0,120013.06
7.0,124176.86
7.0,124176.86
7.0,120096.95
7.0,123729.70
7.0,124266.68
7.0,120793.60
7.0,124087.17
7.0,124176.86
7.0,119325.36
7.0,124087.17
7.0,124356.64
7.0,118645.51
7.0,123908.18
7.1,123285.75
7.1,70969.20
7.1,67544.21
7.1,127873.98
7.1,128375.63
7.1,124831.02
7.1,127281.86
7.1,132509.60
7.1,123997.61
7.1,130348.02
7.1,134217.73
7.1,130175.18
7.1,134112.95
7.1,127281.86
7.1,123997.61
7.1,126415.52
7.1,122363.74
7.1,123729.70
7.1,130769.70
7.1,130348.02
7.1,128351.66
7.1,129269.14
7.1,129463.97
7.1,126345.79
7.1,120857.33
7.1,122560.15
7.1,122647.65
7.1,123020.90
7.1,124176.86
7.1,120096.95
7.1,123997.61
7.1,122998.88
7.1,122016.12
7.1,124199.31
7.1,123818.88
7.1,122276.65
8.0,129978.20
8.0,135194.72
8.0,135514.65
8.0,123908.18
8.0,132945.40
8.0,130273.89
8.0,127589.08
8.0,132945.40
8.0,134664.86
8.0,128375.63
8.0,130175.18
8.0,132535.15
8.0,123285.75
8.0,133591.52
8.0,133591.52
8.0,126345.79
8.0,133280.60
8.0,133695.48
8.0,126718.56
8.0,125882.90
8.0,127683.90
8.0,128447.62
8.0,132203.69
8.0,131169.07
8.0,125975.21
8.0,132305.50
8.0,130052.00
8.0,125286.19
8.0,124356.64
8.0,130570.92
8.0,125952.12
8.0,130471.76
8.0,133487.72
8.0,132432.99
8.0,123551.74
8.0,130348.02
8.0,131169.07
8.0,127873.98
8.0,129855.40
8.1,132945.40
8.1,128664.06
8.1,132127.43
8.1,128471.63
8.1,118830.15
8.1,125035.44
8.1,124649.88
8.1,126322.57
8.1,126044.53
8.1,123529.53
8.1,115301.14
8.1,120772.37
8.1,123263.64
8.1,123818.88
8.1,130372.75
8.1,129953.62
8.1,120793.60
8.1,123462.95
8.1,121929.52
8.1,126415.52
8.1,121756.69
8.1,126812.10
8.1,126999.59
8.1,130150.52
8.1,130769.70
8.1,129147.67
8.1,126322.57
8.1,120013.06
8.1,133384.08
8.1,131798.00
8.1,132509.60
8.1,129634.93
8.1,128953.79
8.1,133151.48
8.1,124199.31
8.1,126812.10
8.1,119325.36
9.0,134008.34
9.0,134876.30
9.0,138631.18
9.0,133461.79
9.0,129757.32
9.0,137741.99
9.0,134533.04
9.0,137521.47
9.0,138519.40
9.0,130769.70
9.0,137521.47
9.0,136294.08
9.0,128953.79
9.0,133903.89
9.0,137192.01
9.0,138296.39
9.0,130348.02
9.0,132842.60
9.0,138101.84
9.0,132535.15
9.0,132535.15
9.0,138547.33
9.0,132509.60
9.0,135943.57
9.0,136078.17
9.0,131394.79
9.0,136864.12
9.0,137192.01
9.0,126137.07
9.0,136619.24
9.0,138547.33
9.0,138407.81
9.0,133461.79
9.0,134849.84
9.0,137741.99
9.0,133151.48
9.0,129366.48
9.0,131671.73
9.0,132509.60
9.0,138435.69
9.1,138547.33
9.1,132919.68
9.1,138659.15
9.1,137963.21
9.1,130869.31
9.1,133903.89
9.1,138659.15
9.1,131596.09
9.1,134217.73
9.1,135970.47
9.1,138995.71
9.1,135088.42
9.1,128664.06
9.1,138296.39
9.1,133565.55
9.1,138547.33
9.1,137990.92
9.1,128760.50
9.1,131696.97
9.1,133048.36
9.1,122450.96
9.1,132000.53
9.1,132637.48
9.1,133048.36
9.1,132739.96
9.1,136294.08
9.1,135728.77
9.1,126044.53
9.1,122538.30
9.1,137631.64
9.1,131495.36
9.1,138883.34
9.1,138547.33
9.1,129439.59
9.1,138995.71
9.1,138296.39
9.1,123087.01
9.1,139249.19
9.1,139023.83
9.1,132535.15
10.0,125103.73
10.0,123818.88
10.0,121907.89
10.0,125286.19
10.0,122647.65
10.0,123818.88
10.0,125012.69
10.0,124087.17
10.0,124559.50
10.0,125309.04
10.0,124469.26
10.0,123729.70
10.0,125309.04
10.0,124740.38
10.0,123440.77
10.0,125103.73
10.0,125103.73
10.0,123997.61
10.0,125309.04
10.0,124921.79
10.0,124649.88
10.0,124379.14
10.0,123997.61
10.0,123818.88
10.0,125194.89
10.0,124289.16
10.0,122998.88
10.0,124831.02
10.0,122016.12
10.0,121305.34
10.0,124740.38
10.0,124649.88
10.0,123707.43
10.0,125103.73
10.0,125012.69
10.0,121821.44
10.0,125012.69
10.1,124176.86
10.1,122910.89
10.1,125194.89
10.1,124469.26
10.1,124831.02
10.1,125377.63
10.1,124087.17
10.1,125194.89
10.1,125377.63
10.1,124176.86
10.1,125012.69
10.1,124921.79
10.1,121134.28
10.1,125103.73
10.1,125012.69
10.1,124536.93
10.1,124831.02
10.1,125194.89
10.1,123087.01
10.1,119491.35
10.1,121670.46
10.1,120602.80
10.1,125126.51
10.1,124469.26
10.1,123197.34
10.1,119762.07
10.1,121134.28
10.1,120602.80
10.1,125194.89
10.1,125103.73
10.1,121305.34
10.1,121821.44
10.1,125012.69
10.1,121821.44
10.1,125103.73
10.1,124536.93
11.0,125012.69
11.0,124649.88
11.0,121756.69
11.0,124831.02
11.0,123640.66
11.0,121048.93
11.0,124627.27
