TimeSec,BandwidthMbps
6.1,125194.89
6.1,129659.39
6.1,131269.30
6.1,123263.64
6.1,132305.50
6.1,128255.84
6.1,132637.48
6.1,130670.24
6.1,123729.70
6.1,129147.67
6.1,132203.69
6.1,128567.78
6.1,125492.11
6.1,131873.88
7.0,57592.59
7.0,57142.42
7.0,55463.66
7.0,56545.28
7.0,54016.25
7.0,76781.54
7.0,100101.20
7.0,99047.96
7.0,100232.61
7.0,99506.92
7.0,129342.14
7.0,128953.79
7.0,135407.84
7.0,119845.62
7.0,125652.73
7.0,131069.00
7.0,127683.90
7.0,131596.09
7.0,132535.15
7.0,128255.84
7.0,130076.62
7.0,131798.00
7.0,127281.86
7.0,127565.39
7.0,131798.00
7.0,122888.91
7.0,131899.19
7.0,129732.82
7.0,126905.77
7.1,124087.17
7.1,131169.07
7.1,129074.90
7.1,131495.36
7.1,131596.09
7.1,121907.89
7.1,131696.97
7.1,130769.70
7.1,123087.01
7.1,125652.73
7.1,131798.00
7.1,127399.85
7.1,132102.03
7.1,126345.79
7.1,122647.65
7.1,125286.19
7.1,128351.66
7.1,122560.15
7.1,131696.97
7.1,131798.00
7.1,127969.23
7.1,132229.13
7.1,127589.08
7.1,125012.69
7.1,128088.49
7.1,132203.69
7.1,124831.02
7.1,129050.66
7.1,126812.10
7.1,126812.10
7.1,125194.89
7.1,124740.38
7.1,123087.01
7.1,125194.89
7.1,125492.11
7.1,124289.16
7.1,125217.71
7.1,125400.50
8.0,115943.10
8.0,123087.01
8.0,118891.83
8.0,115553.18
8.0,121134.28
8.0,116178.32
8.0,108304.93
8.0,112012.19
8.0,108390.34
8.0,122102.84
8.0,115786.82
8.0,115962.67
8.0,121843.04
8.0,116099.81
8.0,116276.61
8.0,123997.61
8.0,120878.59
8.0,118727.50
8.0,122450.96
8.0,118481.86
8.0,64525.33
8.0,85996.09
8.0,94524.73
8.0,93572.27
8.0,94733.22
8.0,93572.27
8.0,94317.15
8.0,125309.04
8.0,124087.17
8.0,125583.84
8.0,125400.50
8.0,124831.02
8.1,125012.69
8.1,125286.19
8.1,123818.88
8.1,125583.84
8.1,125469.19
8.1,124469.26
8.1,124379.14
8.1,123818.88
8.1,124649.88
8.1,124469.26
8.1,125126.51
8.1,124831.02
8.1,124831.02
8.1,125012.69
8.1,110445.96
8.1,117811.55
8.1,124921.79
8.1,123997.61
8.1,125012.69
8.1,119242.54
8.1,119408.30
8.1,125126.51
8.1,101867.00
8.1,108390.34
8.1,118830.15
8.1,118400.20
8.1,118727.50
8.1,119824.72
8.1,118400.20
8.1,119595.33
8.1,119325.36
8.1,118155.91
8.1,118748.02
8.1,115553.18
8.1,121843.04
8.1,120075.97
9.0,122735.27
9.0,122823.01
9.0,123285.75
9.0,107626.43
9.0,104010.11
9.0,104278.42
9.0,113286.31
9.0,123263.64
9.0,121241.14
9.0,121305.34
9.0,123263.64
9.0,121929.52
9.0,123551.74
9.0,123440.77
9.0,122016.12
9.0,122998.88
9.0,123352.14
9.0,122016.12
9.0,125400.50
9.0,120096.95
9.0,121219.75
9.0,123462.95
9.0,123796.57
9.0,122276.65
9.0,122735.27
9.0,122189.68
9.0,120623.97
9.0,123263.64
9.0,122647.65
9.0,123197.34
9.0,123285.75
9.0,122385.53
9.0,123352.14
9.0,123551.74
9.0,120265.10
9.0,123729.70
9.1,122560.15
9.1,119845.62
9.1,101987.94
9.1,105511.25
9.1,99810.42
9.1,102428.79
9.1,99219.57
9.1,100894.84
9.1,117650.19
9.1,117670.34
9.1,118645.51
9.1,119908.35
9.1,111178.57
9.1,101311.33
9.1,101191.98
9.1,102367.76
9.1,100467.07
9.1,101058.05
9.1,122450.96
9.1,122363.74
9.1,123352.14
9.1,122450.96
9.1,115553.18
9.1,106525.31
9.1,122647.65
9.1,115243.13
9.1,121134.28
9.1,116909.62
9.1,102612.33
9.1,106790.17
9.1,100159.56
9.1,101251.62
9.1,100408.35
10.0,123818.88
10.0,124649.88
10.0,122211.41
10.0,123818.88
10.0,124176.86
10.0,124019.99
10.0,125012.69
10.0,124266.68
10.0,124266.68
10.0,120793.60
10.0,124831.02
10.0,118974.16
10.0,124649.88
10.0,124740.38
10.0,124176.86
10.0,124356.64
10.0,124921.79
10.0,123551.74
10.0,123818.88
10.0,124831.02
10.0,123818.88
10.0,124649.88
10.0,124379.14
10.0,123285.75
10.0,124649.88
10.0,124176.86
10.0,123618.41
10.0,123640.66
10.0,124831.02
10.0,123263.64
10.0,124649.88
10.0,124740.38
10.0,123908.18
10.0,124559.50
10.0,125126.51
10.0,122910.89
10.1,124266.68
10.1,124831.02
10.1,124109.58
10.1,124649.88
10.1,124446.72
10.1,124176.86
10.1,124176.86
10.1,124808.35
10.1,121584.35
10.1,124559.50
10.1,125217.71
10.1,120623.97
10.1,124379.14
10.1,124921.79
10.1,121219.75
10.1,124266.68
10.1,124831.02
10.1,120349.35
10.1,125012.69
10.1,120687.53
10.1,123440.77
10.1,124356.64
10.1,124087.17
10.1,124740.38
10.1,124831.02
10.1,124087.17
10.1,124446.72
10.1,124649.88
10.1,123197.34
10.1,124831.02
10.1,125012.69
10.1,124019.99
10.1,124176.86
10.1,123818.88
10.1,124087.17
10.1,124199.31
10.1,124379.14
11.0,57655.40
11.0,59409.94
11.0,57893.41
11.0,56526.67
11.0,54878.99
11.0,56452.38
11.0,55099.00
11.0,56470.93
11.0,57142.42
11.0,56470.93
11.0,57357.05
11.0,57539.54
11.0,56508.08
11.0,57893.41
11.0,58089.16
11.0,56111.27
11.1,57893.41
11.1,57791.17
11.1,57674.76
11.1,56299.75
11.1,58579.39
11.1,56545.28
11.1,57713.51
11.1,56244.46
11.1,58296.13
11.1,57534.73
11.1,56147.95
11.1,57419.35
11.1,58375.36
11.1,56318.21
11.1,56661.84
11.1,57854.42
11.1,57810.61
12.0,124379.14
12.0,125400.50
12.0,125286.19
12.0,124356.64
12.0,125194.89
12.0,125286.19
12.0,123529.53
12.0,124266.68
12.0,125103.73
12.0,122189.68
12.0,125103.73
12.0,120793.60
12.0,124536.93
12.0,125194.89
12.0,124536.93
12.0,123818.88
12.0,124469.26
12.0,125377.63
12.0,124176.86
12.0,125400.50
