tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,10596.0,1059.6,308.0,674.0
2,10,10,10904.0,1090.4,296.0,409.0
3,10,10,19258.0,1925.8,614.0,779.0
4,10,10,17314.0,1731.4,369.0,1263.0
5,10,10,19958.0,1995.8,418.0,1251.0
6,10,10,19563.0,1956.3,476.0,729.0
7,10,10,18632.0,1863.2,692.0,1131.0
8,10,10,19161.0,1916.1,413.0,838.0
9,10,10,8715.0,871.5,292.0,323.0
10,10,10,8017.0,801.7,295.0,320.0
11,10,10,18376.0,1837.6,470.0,712.0
12,10,10,20495.0,2049.5,503.0,1072.0
13,10,10,20864.0,2086.4,511.0,1105.0
14,10,10,20690.0,2069.0,442.0,934.0
15,10,10,20498.0,2049.8,483.0,1034.0
16,10,10,18079.0,1807.9,416.0,989.0
17,10,10,18797.0,1879.7,535.0,941.0
18,10,10,18637.0,1863.7,434.0,881.0
19,10,10,19676.0,1967.6,471.0,938.0
20,10,10,19141.0,1914.1,402.0,506.0
