tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,24300.0,2430.0,586.0,1306.0
2,10,10,21809.0,2180.9,509.0,937.0
3,10,10,20996.0,2099.6,759.0,1067.0
4,10,10,22637.0,2263.7,707.0,1358.0
5,10,10,22773.0,2277.3,554.0,942.0
6,10,10,23438.0,2343.8,521.0,1332.0
7,10,10,22361.0,2236.1,491.0,765.0
8,10,10,21484.0,2148.4,614.0,899.0
9,10,10,20766.0,2076.6,389.0,643.0
10,10,10,21792.0,2179.2,460.0,1015.0
11,10,10,24283.0,2428.3,513.0,1250.0
12,10,10,24161.0,2416.1,498.0,1099.0
13,10,10,22129.0,2212.9,513.0,1394.0
14,10,10,23458.0,2345.8,469.0,974.0
15,10,10,23171.0,2317.1,660.0,1187.0
16,10,10,21534.0,2153.4,470.0,1177.0
17,10,10,21283.0,2128.3,475.0,1043.0
18,10,10,22327.0,2232.7,556.0,988.0
19,10,10,22227.0,2222.7,519.0,816.0
20,10,10,21599.0,2159.9,501.0,904.0
