# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 13
QUOTA: 10
ATTEMPTS: 20
CREATED: 10
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 31.05
TOTAL_TIME_MS: 31.07
AVG_LATENCY_US: 3104.92

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,26079.42,1
1,517.19,1
2,567.27,1
3,474.56,1
4,558.89,1
5,597.63,1
6,550.18,1
7,576.34,1
8,543.52,1
9,584.21,1
10,1.56,0
11,1.22,0
12,1.06,0
13,1.04,0
14,1.09,0
15,1.10,0
16,0.98,0
17,1.00,0
18,1.29,0
19,1.09,0
