tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,41619.0,4161.9,2538.0,3508.0
2,10,10,46881.0,4688.1,2015.0,3012.0
3,10,10,44033.0,4403.3,1331.0,2632.0
4,10,10,49257.0,4925.7,1944.0,2688.0
5,10,10,49288.0,4928.8,2134.0,3035.0
6,10,10,48473.0,4847.3,1951.0,2872.0
7,10,10,59185.0,5918.5,2592.0,3748.0
8,10,10,42461.0,4246.1,2295.0,3275.0
9,10,10,53660.0,5366.0,2685.0,3098.0
10,10,10,57470.0,5747.0,2168.0,2525.0
11,10,10,58113.0,5811.3,2342.0,2739.0
12,10,10,56558.0,5655.8,1944.0,3550.0
13,10,10,56603.0,5660.3,2390.0,2811.0
14,10,10,57146.0,5714.6,2273.0,3295.0
15,10,10,59936.0,5993.6,2745.0,3233.0
16,10,10,55728.0,5572.8,2006.0,2871.0
17,10,10,55114.0,5511.4,2217.0,2646.0
18,10,10,41423.0,4142.3,1904.0,3005.0
19,10,10,57231.0,5723.1,2401.0,3359.0
20,10,10,35971.0,3597.1,1539.0,2910.0
21,10,10,35922.0,3592.2,1350.0,3163.0
22,10,10,57901.0,5790.1,2288.0,2785.0
23,10,10,60544.0,6054.4,2203.0,3869.0
24,10,10,61057.0,6105.7,2628.0,2914.0
25,10,10,59263.0,5926.3,2324.0,3619.0
26,10,10,58157.0,5815.7,2250.0,2965.0
27,10,10,60460.0,6046.0,2363.0,2871.0
28,10,10,60276.0,6027.6,2804.0,3220.0
29,10,10,59023.0,5902.3,2154.0,2577.0
30,10,10,58398.0,5839.8,2646.0,2953.0
31,10,10,60077.0,6007.7,2402.0,3436.0
32,10,10,58175.0,5817.5,2428.0,3290.0
33,10,10,58115.0,5811.5,2416.0,3191.0
34,10,10,57949.0,5794.9,2454.0,3357.0
35,10,10,33155.0,3315.5,1373.0,2876.0
36,10,10,59336.0,5933.6,2361.0,3302.0
37,10,10,56864.0,5686.4,2180.0,3032.0
38,10,10,58020.0,5802.0,2159.0,2875.0
39,10,10,58697.0,5869.7,2482.0,3222.0
40,10,10,56471.0,5647.1,2199.0,2801.0
41,10,10,55110.0,5511.0,2615.0,3218.0
42,10,10,57453.0,5745.3,2695.0,4020.0
43,10,10,57780.0,5778.0,2518.0,3623.0
44,10,10,55966.0,5596.6,2198.0,2968.0
45,10,10,54934.0,5493.4,2594.0,2965.0
46,10,10,55011.0,5501.1,2385.0,2723.0
47,10,10,52381.0,5238.1,2415.0,3085.0
48,10,10,54812.0,5481.2,2319.0,2949.0
49,10,10,52954.0,5295.4,2655.0,3215.0
50,10,10,53463.0,5346.3,2162.0,3003.0
