tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,12449.0,1244.9,600.0,1108.0
2,10,10,18781.0,1878.1,979.0,1268.0
3,10,10,12498.0,1249.8,744.0,1047.0
4,10,10,21788.0,2178.8,973.0,1310.0
5,10,10,18233.0,1823.3,916.0,1294.0
6,10,10,18791.0,1879.1,924.0,1578.0
7,10,10,9869.0,986.9,522.0,1110.0
8,10,10,20569.0,2056.9,926.0,1126.0
9,10,10,10823.0,1082.3,511.0,1232.0
10,10,10,9977.0,997.7,547.0,903.0
11,10,10,9760.0,976.0,455.0,896.0
12,10,10,21103.0,2110.3,976.0,1424.0
13,10,10,20800.0,2080.0,961.0,1160.0
14,10,10,21242.0,2124.2,958.0,1350.0
15,10,10,21006.0,2100.6,945.0,1146.0
16,10,10,20003.0,2000.3,972.0,1149.0
17,10,10,20561.0,2056.1,955.0,1252.0
18,10,10,21416.0,2141.6,1008.0,1466.0
19,10,10,20458.0,2045.8,912.0,1143.0
20,10,10,20845.0,2084.5,952.0,1311.0
