tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,55814.0,5581.4,2374.0,4183.0
2,10,10,67369.0,6736.9,3018.0,5347.0
3,10,10,60123.0,6012.3,2842.0,4348.0
4,10,10,67889.0,6788.9,2954.0,5623.0
5,10,10,68210.0,6821.0,2565.0,5387.0
6,10,10,81562.0,8156.2,3364.0,6121.0
7,10,10,82491.0,8249.1,3243.0,6669.0
8,10,10,67204.0,6720.4,2751.0,5260.0
9,10,10,74660.0,7466.0,2985.0,5177.0
10,10,10,87628.0,8762.8,3840.0,6016.0
11,10,10,79732.0,7973.2,3099.0,6026.0
12,10,10,84275.0,8427.5,3105.0,5725.0
13,10,10,80315.0,8031.5,3395.0,5785.0
14,10,10,89146.0,8914.6,3649.0,5687.0
15,10,10,91486.0,9148.6,3751.0,5577.0
16,10,10,92465.0,9246.5,3569.0,5631.0
17,10,10,89641.0,8964.1,3462.0,6198.0
18,10,10,92561.0,9256.1,3884.0,6106.0
19,10,10,97314.0,9731.4,4080.0,6281.0
20,10,10,89712.0,8971.2,3264.0,6191.0
21,10,10,91113.0,9111.3,3624.0,6576.0
22,10,10,93684.0,9368.4,4209.0,6258.0
23,10,10,96798.0,9679.8,4515.0,6245.0
24,10,10,100987.0,10098.7,5122.0,5819.0
25,10,10,98404.0,9840.4,4729.0,6065.0
26,10,10,98666.0,9866.6,4856.0,6347.0
27,10,10,100831.0,10083.1,4801.0,5668.0
28,10,10,106606.0,10660.6,4833.0,5712.0
29,10,10,102776.0,10277.6,4508.0,6206.0
30,10,10,98458.0,9845.8,5020.0,5441.0
31,10,10,105788.0,10578.8,4760.0,6161.0
32,10,10,105593.0,10559.3,4482.0,6037.0
33,10,10,107776.0,10777.6,5009.0,5989.0
34,10,10,106398.0,10639.8,4660.0,5918.0
35,10,10,110303.0,11030.3,4822.0,7149.0
36,10,10,109138.0,10913.8,5104.0,6278.0
37,10,10,109677.0,10967.7,5204.0,6281.0
38,10,10,111220.0,11122.0,4814.0,6073.0
39,10,10,109300.0,10930.0,4561.0,6259.0
40,10,10,109519.0,10951.9,4753.0,5717.0
41,10,10,112486.0,11248.6,5058.0,6007.0
42,10,10,111225.0,11122.5,5088.0,5944.0
43,10,10,108415.0,10841.5,4502.0,6268.0
44,10,10,112020.0,11202.0,5397.0,6834.0
45,10,10,106717.0,10671.7,4371.0,5793.0
46,10,10,110323.0,11032.3,5642.0,6010.0
47,10,10,109589.0,10958.9,4959.0,6689.0
48,10,10,109334.0,10933.4,4655.0,6375.0
49,10,10,109026.0,10902.6,4174.0,6076.0
50,10,10,108206.0,10820.6,5064.0,5913.0
51,10,10,112200.0,11220.0,4305.0,5958.0
52,10,10,111509.0,11150.9,5192.0,6027.0
53,10,10,109765.0,10976.5,4863.0,5717.0
54,10,10,108876.0,10887.6,4916.0,5792.0
55,10,10,111471.0,11147.1,5014.0,5882.0
56,10,10,108247.0,10824.7,4412.0,6049.0
57,10,10,108550.0,10855.0,4997.0,5702.0
58,10,10,108609.0,10860.9,4915.0,6083.0
59,10,10,105299.0,10529.9,4575.0,5930.0
60,10,10,105947.0,10594.7,4360.0,5952.0
61,10,10,108038.0,10803.8,4992.0,5865.0
62,10,10,108269.0,10826.9,4676.0,6903.0
63,10,10,104889.0,10488.9,4684.0,5952.0
64,10,10,106921.0,10692.1,4621.0,6069.0
65,10,10,104211.0,10421.1,4435.0,5754.0
66,10,10,103761.0,10376.1,4803.0,6099.0
67,10,10,107782.0,10778.2,4788.0,6638.0
68,10,10,104588.0,10458.8,4899.0,6494.0
69,10,10,105006.0,10500.6,5071.0,5850.0
70,10,10,105026.0,10502.6,4543.0,6281.0
71,10,10,102669.0,10266.9,4903.0,6752.0
72,10,10,103222.0,10322.2,4645.0,6401.0
73,10,10,105973.0,10597.3,5548.0,5908.0
74,10,10,103175.0,10317.5,4675.0,6182.0
75,10,10,102467.0,10246.7,4877.0,6126.0
76,10,10,98998.0,9899.8,4518.0,6657.0
77,10,10,99733.0,9973.3,4210.0,6286.0
78,10,10,102262.0,10226.2,4217.0,6507.0
79,10,10,99190.0,9919.0,4309.0,6563.0
80,10,10,97473.0,9747.3,4673.0,6376.0
81,10,10,99520.0,9952.0,4775.0,6246.0
82,10,10,97304.0,9730.4,4267.0,5479.0
83,10,10,99918.0,9991.8,4209.0,5720.0
84,10,10,95791.0,9579.1,4526.0,5666.0
85,10,10,94088.0,9408.8,4323.0,6059.0
86,10,10,96289.0,9628.9,4644.0,6158.0
87,10,10,94355.0,9435.5,4432.0,6132.0
88,10,10,94934.0,9493.4,4247.0,6540.0
89,10,10,96895.0,9689.5,4785.0,5880.0
90,10,10,95605.0,9560.5,4540.0,5573.0
91,10,10,93728.0,9372.8,4687.0,5829.0
92,10,10,90684.0,9068.4,3962.0,5563.0
93,10,10,95359.0,9535.9,4862.0,5668.0
94,10,10,93149.0,9314.9,4320.0,6327.0
95,10,10,94280.0,9428.0,4241.0,6256.0
96,10,10,89544.0,8954.4,4348.0,5484.0
97,10,10,93137.0,9313.7,3719.0,5895.0
98,10,10,91193.0,9119.3,4543.0,6815.0
99,10,10,90892.0,9089.2,4306.0,5613.0
100,10,10,89454.0,8945.4,4396.0,5732.0
