test_type,workload_type,use_cache,adaptive_ttl,num_processes,ttl_ms,
1,0,1,0,10,100,

metric,value,unit
hit_rate,100.0000,%
avg_latency_ns,210.37,ns
min_latency_ns,204.00,ns
max_latency_ns,12273.00,ns
p50_latency_ns,207.00,ns
p99_latency_ns,235.00,ns
std_dev_ns,57.14,ns
total_ops,100000,ops
duration_sec,0.000000,sec
