test_type,workload_type,use_cache,adaptive_ttl,num_processes,ttl_ms,
1,0,0,0,10,100,

metric,value,unit
hit_rate,0.0000,%
avg_latency_ns,263.38,ns
min_latency_ns,64.00,ns
max_latency_ns,12537.00,ns
p50_latency_ns,264.00,ns
p99_latency_ns,441.00,ns
std_dev_ns,123.07,ns
total_ops,100000,ops
duration_sec,0.000000,sec
