TimeSec,BandwidthMbps
1.00,81360.00
2.00,80803.00
3.00,80245.00
4.00,81665.00
5.00,79099.00
6.00,76542.00
7.00,77948.00
8.00,48527.00
9.00,76828.00
10.00,78263.00
11.00,54263.00
12.00,79142.00
13.00,78530.00
14.00,54994.00
15.00,77420.00
16.00,76862.00
17.00,50717.00
18.00,79716.00
19.00,77161.00
20.00,46488.00
21.00,78023.00
22.00,79460.00
23.00,52275.00
24.00,76351.00
25.00,79757.00
26.00,52955.00
27.00,78639.00
28.00,78068.00
29.00,53759.00
30.00,76920.00
