# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 34
QUOTA: 10
ATTEMPTS: 15
CREATED: 10
DENIED: 5
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 5.04
TOTAL_TIME_MS: 5.06
AVG_LATENCY_US: 503.85

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,774.87,1
1,455.45,1
2,522.40,1
3,328.41,1
4,448.15,1
5,616.86,1
6,529.60,1
7,477.72,1
8,442.99,1
9,442.04,1
10,1.50,0
11,1.24,0
12,1.00,0
13,1.00,0
14,1.02,0
