test_type,workload_type,use_cache,adaptive_ttl,num_processes,ttl_ms,
1,0,1,0,10,500,

metric,value,unit
hit_rate,100.0000,%
avg_latency_ns,138.95,ns
min_latency_ns,86.00,ns
max_latency_ns,23135.00,ns
p50_latency_ns,102.00,ns
p99_latency_ns,193.00,ns
std_dev_ns,285.08,ns
total_ops,100000,ops
duration_sec,0.000000,sec
