test_type,workload_type,use_cache,adaptive_ttl,num_processes,ttl_ms,
1,0,0,0,10,100,

metric,value,unit
hit_rate,0.0000,%
avg_latency_ns,234.15,ns
min_latency_ns,19.00,ns
max_latency_ns,71864.00,ns
p50_latency_ns,197.00,ns
p99_latency_ns,504.00,ns
std_dev_ns,477.33,ns
total_ops,100000,ops
duration_sec,0.000000,sec
