test_type,workload_type,use_cache,adaptive_ttl,num_processes,ttl_ms,
1,0,1,0,10,50,

metric,value,unit
hit_rate,100.0000,%
avg_latency_ns,120.77,ns
min_latency_ns,88.00,ns
max_latency_ns,19329.00,ns
p50_latency_ns,126.00,ns
p99_latency_ns,134.00,ns
std_dev_ns,255.97,ns
total_ops,100000,ops
duration_sec,0.000000,sec
